blockNumber,timeStamp,hash,nonce,blockHash,transactionIndex,from,to,value,gas,gasPrice,isError,txreceipt_status,contractAddress,gasUsed,tx_type,weiSpentOnGas
13213697,1631486364,0xc0a0aa50d42e52474b93b5c65a27c141437fc26d281c3ea61b97e685012bebf0,429,0x03fb6844cd3c7342a7ea8f1cc215d5b4fcbd3986966f977a9d89643f8d76198b,310,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x41c84c0e2ee0b740cf0d31f63f3b6f627dc6b393,0,245767,65548313247,0,1,,232790,transaction,1.525899184076913e+16
13213877,1631488518,0xa52d3186f52a443bc383c0bb4cca7568bc6d2dbace2c502d7610410535200675,430,0xdee63d7c332cde63f2295d86ace0b4b0ffa0ae2e658b86d93044c0f7cfcad0ba,90,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x6570b0a1593a59ccb378fb0b01a753875fca99c4,0,2587663,63431754612,0,1,,1400209,transaction,8.88177136935139e+16
13214249,1631493476,0x56f976743df1859470f01610b8215a30a1ee8d576fb238ed12f7db16164f096a,431,0xf79f63b6dcb981df330a17154aa12106c5f8249122a90df61dfbe32ef81f673c,80,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x16388463d60ffe0661cf7f1f31a7d658ac790ff7,0,3000000,54144520838,0,1,,1261380,transaction,6.829681569463644e+16
13214558,1631497796,0xf857c29cf5784b3f1baa82a8a53b6b660a3f8e09425dd00beddd4f40ca889fd7,432,0xb268a895007a30fdb1f92e84a86e8bec43e2df3e174b8c8fd27e6ef8191109da,100,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0xdac17f958d2ee523a2206206994597c13d831ec7,0,48897,64502087474,0,1,,48897,transaction,3153958571216178.0
13214565,1631497891,0xfd634dba22fd72419a27bb279c8b0a3dfffc3987ba8db01d3fa33219f6aa2e5f,433,0x46b1ea31e68eadfc9655511eb6a05b6eb3b45b5eb2f2e8d5e9d40b075afac976,270,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x92be6adb6a12da0ca607f9d87db2f9978cd6ec3e,0,1087829,54690415257,0,1,,870264,transaction,4.759509954321785e+16
13214572,1631498051,0x98fe8a6dff1778fd1aef25885b708c5621fc0cb2f6486dc265f0879f8a38a4c6,434,0xab14397286ae6e248d57456f5b9ea7fb15901111a3cd00144a3a945dcf80e6ce,313,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x92be6adb6a12da0ca607f9d87db2f9978cd6ec3e,10000000000000000,652034,70470608944,0,1,,521623,transaction,3.675909044919611e+16
13217734,1631541289,0x474c68ed5b09b3e92fbb9701c8c02adb7c8787269a2f19e91ee2a07b9be39c7c,435,0xb718cc28047023b9750448f83b3fafae5860a8c2b5e25c0c8cafcfa362cd1584,144,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x9a5afc29186b5d27f12f8ce6fe9e6bd2cbb2bcdc,0,1553280,78926690984,0,1,,928944,transaction,7.33184760294409e+16
13217734,1631541289,0xa34808328bab0a3f021da0b04317909b255f6fa938e7978bd0658f0850253f70,436,0xb718cc28047023b9750448f83b3fafae5860a8c2b5e25c0c8cafcfa362cd1584,145,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x29d23b73dd0ed729f516bb55622765af102f0e33,0,1012732,78926690984,0,1,,566449,transaction,4.4707945181195816e+16
13219835,1631568949,0x5b51955fe5318e9c49934646b25d65a9c7394b61b5edc456fb5e96e356e1d1f3,437,0xe729501574a42b34b7f8c3e1f11108db591411f7318759f86f4a03b97f1fc591,174,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0xa2a182c5b5ea1a3c90cb5bb718f9e62dbe052927,0,1040914,55288756743,0,1,,613703,transaction,3.393087587944933e+16
13219847,1631569051,0x7172a61d196ff44d59a4ce0dc9fccd12b44d6912a0b9b9115c41e18f8f4e059a,438,0x50bca96a750fc9ece4921ba8e13e229e00b5f1cfc876dea1a7f50aef7ffb3db6,55,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0xb71252d990483079ccf76a85b623059b5e33d3db,0,1072308,46843606347,0,1,,613306,transaction,2.8729464834253184e+16
